	HGNC_ID	Ensembl	Gene_symbol	Source	Source_Date	Download_Date
84	HGNC:8494	ENSG00000172940	SLC22A13	HPA	20210914	20210914
85	HGNC:10970	ENSG00000197901	SLC22A6	HPA	20210914	20210914
86	HGNC:14409	ENSG00000125454	SLC25A19	HPA	20210914	20210914
87	HGNC:28380	ENSG00000181035	SLC25A42	HPA	20210914	20210914
88	HGNC:16484	ENSG00000197506	SLC28A3	HPA	20210914	20210914
89	HGNC:13444	ENSG00000197496	SLC2A10	HPA	20210914	20210914
90	HGNC:18067	ENSG00000146411	SLC2A12	HPA	20210914	20210914
91	HGNC:11007	ENSG00000059804	SLC2A3	HPA	20210914	20210914
92	HGNC:11011	ENSG00000160326	SLC2A6	HPA	20210914	20210914
93	HGNC:13446	ENSG00000109667	SLC2A9	HPA	20210914	20210914
94	HGNC:11012	ENSG00000170385	SLC30A1	HPA	20210914	20210914
95	HGNC:25355	ENSG00000196660	SLC30A10	HPA	20210914	20210914
96	HGNC:11015	ENSG00000104154	SLC30A4	HPA	20210914	20210914
97	HGNC:13447	ENSG00000111371	SLC38A1	HPA	20210914	20210914
98	HGNC:19429	ENSG00000133065	SLC41A1	HPA	20210914	20210914
99	HGNC:31045	ENSG00000136052	SLC41A2	HPA	20210914	20210914
100	HGNC:9225	ENSG00000149150	SLC43A1	HPA	20210914	20210914
101	HGNC:23087	ENSG00000167703	SLC43A2	HPA	20210914	20210914
102	HGNC:30521	ENSG00000076351	SLC46A1	HPA	20210914	20210914
103	HGNC:16438	ENSG00000088836	SLC4A11	HPA	20210914	20210914
104	HGNC:11057	ENSG00000139514	SLC7A1	HPA	20210914	20210914
105	HGNC:11063	ENSG00000103257	SLC7A5	HPA	20210914	20210914
106	HGNC:11064	ENSG00000103064	SLC7A6	HPA	20210914	20210914
107	HGNC:11065	ENSG00000155465	SLC7A7	HPA	20210914	20210914
108	HGNC:11067	ENSG00000021488	SLC7A9	HPA	20210914	20210914
