	HGNC_ID	Gene_symbol	Biological_process	Source	Source_Date	Download_Date
14686	HGNC:9377	PRKAA2	Sterol biosynthesis	HPA	20210914	20210914
14687	HGNC:9377	PRKAA2	Sterol metabolism	HPA	20210914	20210914
14688	HGNC:9377	PRKAA2	Transcription	HPA	20210914	20210914
14689	HGNC:9377	PRKAA2	Transcription regulation	HPA	20210914	20210914
14690	HGNC:9377	PRKAA2	Wnt signaling pathway	HPA	20210914	20210914
14691	HGNC:9378	PRKAB1	Fatty acid biosynthesis	HPA	20210914	20210914
14692	HGNC:9378	PRKAB1	Fatty acid metabolism	HPA	20210914	20210914
14693	HGNC:9378	PRKAB1	Lipid biosynthesis	HPA	20210914	20210914
14694	HGNC:9378	PRKAB1	Lipid metabolism	HPA	20210914	20210914
14695	HGNC:9379	PRKAB2	Fatty acid biosynthesis	HPA	20210914	20210914
14696	HGNC:9379	PRKAB2	Fatty acid metabolism	HPA	20210914	20210914
14697	HGNC:9379	PRKAB2	Lipid biosynthesis	HPA	20210914	20210914
14698	HGNC:9379	PRKAB2	Lipid metabolism	HPA	20210914	20210914
14699	HGNC:9385	PRKAG1	Fatty acid biosynthesis	HPA	20210914	20210914
14700	HGNC:9385	PRKAG1	Fatty acid metabolism	HPA	20210914	20210914
14701	HGNC:9385	PRKAG1	Lipid biosynthesis	HPA	20210914	20210914
14702	HGNC:9385	PRKAG1	Lipid metabolism	HPA	20210914	20210914
14703	HGNC:9386	PRKAG2	Fatty acid biosynthesis	HPA	20210914	20210914
14704	HGNC:9386	PRKAG2	Fatty acid metabolism	HPA	20210914	20210914
14705	HGNC:9386	PRKAG2	Lipid biosynthesis	HPA	20210914	20210914
14706	HGNC:9386	PRKAG2	Lipid metabolism	HPA	20210914	20210914
14707	HGNC:9387	PRKAG3	Fatty acid biosynthesis	HPA	20210914	20210914
14708	HGNC:9387	PRKAG3	Fatty acid metabolism	HPA	20210914	20210914
14709	HGNC:9387	PRKAG3	Lipid biosynthesis	HPA	20210914	20210914
14710	HGNC:9387	PRKAG3	Lipid metabolism	HPA	20210914	20210914
14711	HGNC:9393	PRKCA	Angiogenesis	HPA	20210914	20210914
14712	HGNC:9393	PRKCA	Apoptosis	HPA	20210914	20210914
14713	HGNC:9393	PRKCA	Cell adhesion	HPA	20210914	20210914
14714	HGNC:9395	PRKCB	Adaptive immunity	HPA	20210914	20210914
14715	HGNC:9395	PRKCB	Apoptosis	HPA	20210914	20210914
14716	HGNC:9395	PRKCB	Immunity	HPA	20210914	20210914
14717	HGNC:9395	PRKCB	Transcription	HPA	20210914	20210914
14718	HGNC:9395	PRKCB	Transcription regulation	HPA	20210914	20210914
14719	HGNC:9399	PRKCD	Apoptosis	HPA	20210914	20210914
14720	HGNC:9399	PRKCD	Cell cycle	HPA	20210914	20210914
14721	HGNC:9401	PRKCE	Cell adhesion	HPA	20210914	20210914
14722	HGNC:9401	PRKCE	Cell cycle	HPA	20210914	20210914
14723	HGNC:9401	PRKCE	Cell division	HPA	20210914	20210914
14724	HGNC:9401	PRKCE	Immunity	HPA	20210914	20210914
14725	HGNC:9402	PRKCG	Biological rhythms	HPA	20210914	20210914
14726	HGNC:9403	PRKCH	Differentiation	HPA	20210914	20210914
14727	HGNC:9410	PRKCQ	Immunity	HPA	20210914	20210914
14728	HGNC:9410	PRKCQ	Inflammatory response	HPA	20210914	20210914
14729	HGNC:9412	PRKCZ	Inflammatory response	HPA	20210914	20210914
14730	HGNC:9407	PRKD1	Angiogenesis	HPA	20210914	20210914
14731	HGNC:9407	PRKD1	Apoptosis	HPA	20210914	20210914
