	HGNC_ID	Gene_symbol	Biological_process	Source	Source_Date	Download_Date
14964	HGNC:16049	PTGES3	Fatty acid biosynthesis	HPA	20210914	20210914
14965	HGNC:16049	PTGES3	Fatty acid metabolism	HPA	20210914	20210914
14966	HGNC:16049	PTGES3	Lipid biosynthesis	HPA	20210914	20210914
14967	HGNC:16049	PTGES3	Lipid metabolism	HPA	20210914	20210914
14968	HGNC:16049	PTGES3	Prostaglandin biosynthesis	HPA	20210914	20210914
14969	HGNC:16049	PTGES3	Prostaglandin metabolism	HPA	20210914	20210914
14970	HGNC:43946	PTGES3L-AARSD1	Protein biosynthesis	HPA	20210914	20210914
14971	HGNC:9603	PTGIS	Fatty acid biosynthesis	HPA	20210914	20210914
14972	HGNC:9603	PTGIS	Fatty acid metabolism	HPA	20210914	20210914
14973	HGNC:9603	PTGIS	Lipid biosynthesis	HPA	20210914	20210914
14974	HGNC:9603	PTGIS	Lipid metabolism	HPA	20210914	20210914
