	HGNC_ID	Gene_symbol	Molecular_function	Source	Source_Date	Download_Date
1562	HGNC:950	BAP1	Chromatin regulator	HPA	20210914	20210914
1563	HGNC:950	BAP1	Hydrolase	HPA	20210914	20210914
1564	HGNC:950	BAP1	Protease	HPA	20210914	20210914
1565	HGNC:950	BAP1	Thiol protease	HPA	20210914	20210914
1566	HGNC:952	BARD1	Transferase	HPA	20210914	20210914
1567	HGNC:953	BARHL1	DNA-binding	HPA	20210914	20210914
1568	HGNC:954	BARHL2	DNA-binding	HPA	20210914	20210914
1569	HGNC:955	BARX1	DNA-binding	HPA	20210914	20210914
1570	HGNC:956	BARX2	DNA-binding	HPA	20210914	20210914
1571	HGNC:958	BATF	Activator	HPA	20210914	20210914
1572	HGNC:958	BATF	DNA-binding	HPA	20210914	20210914
1573	HGNC:958	BATF	Repressor	HPA	20210914	20210914
1574	HGNC:25163	BATF2	Activator	HPA	20210914	20210914
1575	HGNC:25163	BATF2	DNA-binding	HPA	20210914	20210914
1576	HGNC:28915	BATF3	Activator	HPA	20210914	20210914
1577	HGNC:28915	BATF3	DNA-binding	HPA	20210914	20210914
1578	HGNC:28915	BATF3	Repressor	HPA	20210914	20210914
1579	HGNC:961	BAZ1B	Kinase	HPA	20210914	20210914
1580	HGNC:961	BAZ1B	Transferase	HPA	20210914	20210914
1581	HGNC:961	BAZ1B	Tyrosine-protein kinase	HPA	20210914	20210914
1582	HGNC:962	BAZ2A	Chromatin regulator	HPA	20210914	20210914
1583	HGNC:962	BAZ2A	DNA-binding	HPA	20210914	20210914
1584	HGNC:962	BAZ2A	Repressor	HPA	20210914	20210914
1585	HGNC:962	BAZ2A	RNA-binding	HPA	20210914	20210914
1586	HGNC:963	BAZ2B	DNA-binding	HPA	20210914	20210914
1587	HGNC:964	BBOX1	Dioxygenase	HPA	20210914	20210914
1588	HGNC:964	BBOX1	Oxidoreductase	HPA	20210914	20210914
1589	HGNC:26291	BBS10	Chaperone	HPA	20210914	20210914
1590	HGNC:14422	BBX	DNA-binding	HPA	20210914	20210914
1591	HGNC:6722	BCAM	Blood group antigen	HPA	20210914	20210914
1592	HGNC:6722	BCAM	Receptor	HPA	20210914	20210914
1593	HGNC:973	BCAR3	Guanine-nucleotide releasing factor	HPA	20210914	20210914
1594	HGNC:976	BCAT1	Aminotransferase	HPA	20210914	20210914
1595	HGNC:976	BCAT1	Transferase	HPA	20210914	20210914
1596	HGNC:977	BCAT2	Aminotransferase	HPA	20210914	20210914
1597	HGNC:977	BCAT2	Transferase	HPA	20210914	20210914
1598	HGNC:27050	BCDIN3D	Methyltransferase	HPA	20210914	20210914
1599	HGNC:27050	BCDIN3D	Transferase	HPA	20210914	20210914
1600	HGNC:983	BCHE	Hydrolase	HPA	20210914	20210914
1601	HGNC:983	BCHE	Serine esterase	HPA	20210914	20210914
1602	HGNC:986	BCKDHA	Oxidoreductase	HPA	20210914	20210914
1603	HGNC:987	BCKDHB	Oxidoreductase	HPA	20210914	20210914
1604	HGNC:16902	BCKDK	Kinase	HPA	20210914	20210914
1605	HGNC:16902	BCKDK	Transferase	HPA	20210914	20210914
1606	HGNC:13221	BCL11A	Repressor	HPA	20210914	20210914
1607	HGNC:13222	BCL11B	Repressor	HPA	20210914	20210914
1608	HGNC:998	BCL3	Activator	HPA	20210914	20210914
1609	HGNC:1001	BCL6	Activator	HPA	20210914	20210914
1610	HGNC:1001	BCL6	DNA-binding	HPA	20210914	20210914
1611	HGNC:1001	BCL6	Repressor	HPA	20210914	20210914
1612	HGNC:23688	BCL9L	Activator	HPA	20210914	20210914
1613	HGNC:16863	BCLAF1	DNA-binding	HPA	20210914	20210914
1614	HGNC:16863	BCLAF1	Repressor	HPA	20210914	20210914
1615	HGNC:13815	BCO1	Dioxygenase	HPA	20210914	20210914
1616	HGNC:13815	BCO1	Oxidoreductase	HPA	20210914	20210914
1617	HGNC:18503	BCO2	Dioxygenase	HPA	20210914	20210914
1618	HGNC:18503	BCO2	Oxidoreductase	HPA	20210914	20210914
1619	HGNC:20893	BCOR	Chromatin regulator	HPA	20210914	20210914
1620	HGNC:20893	BCOR	Repressor	HPA	20210914	20210914
1621	HGNC:25657	BCORL1	Chromatin regulator	HPA	20210914	20210914
1622	HGNC:25657	BCORL1	Repressor	HPA	20210914	20210914
1623	HGNC:1014	BCR	GTPase activation	HPA	20210914	20210914
1624	HGNC:1014	BCR	Guanine-nucleotide releasing factor	HPA	20210914	20210914
1625	HGNC:1014	BCR	Kinase	HPA	20210914	20210914
1626	HGNC:1014	BCR	Serine/threonine-protein kinase	HPA	20210914	20210914
1627	HGNC:1014	BCR	Transferase	HPA	20210914	20210914
1628	HGNC:1020	BCS1L	Chaperone	HPA	20210914	20210914
1629	HGNC:1027	BDH1	Allosteric enzyme	HPA	20210914	20210914
1630	HGNC:1027	BDH1	Oxidoreductase	HPA	20210914	20210914
1631	HGNC:32389	BDH2	Oxidoreductase	HPA	20210914	20210914
1632	HGNC:1029	BDKRB1	G-protein coupled receptor	HPA	20210914	20210914
1633	HGNC:1029	BDKRB1	Receptor	HPA	20210914	20210914
1634	HGNC:1029	BDKRB1	Transducer	HPA	20210914	20210914
1635	HGNC:1030	BDKRB2	G-protein coupled receptor	HPA	20210914	20210914
1636	HGNC:1030	BDKRB2	Receptor	HPA	20210914	20210914
1637	HGNC:1030	BDKRB2	Transducer	HPA	20210914	20210914
1638	HGNC:1033	BDNF	Growth factor	HPA	20210914	20210914
1639	HGNC:13652	BDP1	Activator	HPA	20210914	20210914
1640	HGNC:23040	BEND3	Chromatin regulator	HPA	20210914	20210914
1641	HGNC:23040	BEND3	DNA-binding	HPA	20210914	20210914
1642	HGNC:23040	BEND3	Repressor	HPA	20210914	20210914
1643	HGNC:25668	BEND5	DNA-binding	HPA	20210914	20210914
1644	HGNC:25668	BEND5	Repressor	HPA	20210914	20210914
1645	HGNC:20871	BEND6	Repressor	HPA	20210914	20210914
1646	HGNC:12703	BEST1	Chloride channel	HPA	20210914	20210914
1647	HGNC:12703	BEST1	Ion channel	HPA	20210914	20210914
1648	HGNC:17107	BEST2	Chloride channel	HPA	20210914	20210914
1649	HGNC:17107	BEST2	Ion channel	HPA	20210914	20210914
1650	HGNC:17105	BEST3	Chloride channel	HPA	20210914	20210914
1651	HGNC:17105	BEST3	Ion channel	HPA	20210914	20210914
1652	HGNC:17106	BEST4	Chloride channel	HPA	20210914	20210914
1653	HGNC:17106	BEST4	Ion channel	HPA	20210914	20210914
1654	HGNC:1036	BEX1	Developmental protein	HPA	20210914	20210914
1655	HGNC:1040	BFSP1	Eye lens protein	HPA	20210914	20210914
1656	HGNC:1041	BFSP2	Eye lens protein	HPA	20210914	20210914
1657	HGNC:22265	BHLHA15	DNA-binding	HPA	20210914	20210914
1658	HGNC:22265	BHLHA15	Repressor	HPA	20210914	20210914
1659	HGNC:35126	BHLHA9	Developmental protein	HPA	20210914	20210914
1660	HGNC:35126	BHLHA9	DNA-binding	HPA	20210914	20210914
1661	HGNC:11963	BHLHE22	Repressor	HPA	20210914	20210914
1662	HGNC:16093	BHLHE23	DNA-binding	HPA	20210914	20210914
1663	HGNC:1046	BHLHE40	DNA-binding	HPA	20210914	20210914
1664	HGNC:1046	BHLHE40	Repressor	HPA	20210914	20210914
1665	HGNC:16617	BHLHE41	DNA-binding	HPA	20210914	20210914
1666	HGNC:16617	BHLHE41	Repressor	HPA	20210914	20210914
1667	HGNC:44318	BHMG1	DNA-binding	HPA	20210914	20210914
1668	HGNC:1047	BHMT	Methyltransferase	HPA	20210914	20210914
1669	HGNC:1047	BHMT	Transferase	HPA	20210914	20210914
1670	HGNC:1048	BHMT2	Methyltransferase	HPA	20210914	20210914
1671	HGNC:1048	BHMT2	Transferase	HPA	20210914	20210914
1672	HGNC:19351	BICC1	Developmental protein	HPA	20210914	20210914
1673	HGNC:19351	BICC1	RNA-binding	HPA	20210914	20210914
1674	HGNC:1052	BIN1	Developmental protein	HPA	20210914	20210914
1675	HGNC:590	BIRC2	Activator	HPA	20210914	20210914
1676	HGNC:590	BIRC2	Transferase	HPA	20210914	20210914
1677	HGNC:591	BIRC3	Transferase	HPA	20210914	20210914
1678	HGNC:593	BIRC5	Protease inhibitor	HPA	20210914	20210914
1679	HGNC:593	BIRC5	Repressor	HPA	20210914	20210914
1680	HGNC:593	BIRC5	Thiol protease inhibitor	HPA	20210914	20210914
1681	HGNC:13516	BIRC6	Protease inhibitor	HPA	20210914	20210914
1682	HGNC:13516	BIRC6	Thiol protease inhibitor	HPA	20210914	20210914
1683	HGNC:13516	BIRC6	Transferase	HPA	20210914	20210914
1684	HGNC:13702	BIRC7	Protease inhibitor	HPA	20210914	20210914
1685	HGNC:13702	BIRC7	Thiol protease inhibitor	HPA	20210914	20210914
1686	HGNC:13702	BIRC7	Transferase	HPA	20210914	20210914
1687	HGNC:1057	BLK	Kinase	HPA	20210914	20210914
1688	HGNC:1057	BLK	Transferase	HPA	20210914	20210914
1689	HGNC:1057	BLK	Tyrosine-protein kinase	HPA	20210914	20210914
1690	HGNC:1058	BLM	DNA-binding	HPA	20210914	20210914
1691	HGNC:1058	BLM	Helicase	HPA	20210914	20210914
1692	HGNC:1058	BLM	Hydrolase	HPA	20210914	20210914
1693	HGNC:1059	BLMH	Hydrolase	HPA	20210914	20210914
1694	HGNC:1059	BLMH	Protease	HPA	20210914	20210914
1695	HGNC:1059	BLMH	Thiol protease	HPA	20210914	20210914
1696	HGNC:1062	BLVRA	Oxidoreductase	HPA	20210914	20210914
1697	HGNC:1063	BLVRB	Oxidoreductase	HPA	20210914	20210914
1698	HGNC:1066	BMI1	Chromatin regulator	HPA	20210914	20210914
1699	HGNC:1066	BMI1	Repressor	HPA	20210914	20210914
1700	HGNC:1067	BMP1	Cytokine	HPA	20210914	20210914
1701	HGNC:1067	BMP1	Developmental protein	HPA	20210914	20210914
1702	HGNC:1067	BMP1	Growth factor	HPA	20210914	20210914
1703	HGNC:1067	BMP1	Hydrolase	HPA	20210914	20210914
1704	HGNC:1067	BMP1	Metalloprotease	HPA	20210914	20210914
1705	HGNC:1067	BMP1	Protease	HPA	20210914	20210914
1706	HGNC:20869	BMP10	Cytokine	HPA	20210914	20210914
1707	HGNC:20869	BMP10	Developmental protein	HPA	20210914	20210914
1708	HGNC:20869	BMP10	Growth factor	HPA	20210914	20210914
1709	HGNC:1068	BMP15	Cytokine	HPA	20210914	20210914
1710	HGNC:1068	BMP15	Growth factor	HPA	20210914	20210914
1711	HGNC:1069	BMP2	Cytokine	HPA	20210914	20210914
1712	HGNC:1069	BMP2	Developmental protein	HPA	20210914	20210914
1713	HGNC:1069	BMP2	Growth factor	HPA	20210914	20210914
1714	HGNC:18041	BMP2K	Kinase	HPA	20210914	20210914
1715	HGNC:18041	BMP2K	Serine/threonine-protein kinase	HPA	20210914	20210914
1716	HGNC:18041	BMP2K	Transferase	HPA	20210914	20210914
1717	HGNC:1070	BMP3	Cytokine	HPA	20210914	20210914
1718	HGNC:1070	BMP3	Developmental protein	HPA	20210914	20210914
1719	HGNC:1070	BMP3	Growth factor	HPA	20210914	20210914
1720	HGNC:1071	BMP4	Cytokine	HPA	20210914	20210914
1721	HGNC:1071	BMP4	Developmental protein	HPA	20210914	20210914
1722	HGNC:1071	BMP4	Growth factor	HPA	20210914	20210914
1723	HGNC:1072	BMP5	Cytokine	HPA	20210914	20210914
1724	HGNC:1072	BMP5	Developmental protein	HPA	20210914	20210914
1725	HGNC:1072	BMP5	Growth factor	HPA	20210914	20210914
1726	HGNC:1073	BMP6	Cytokine	HPA	20210914	20210914
1727	HGNC:1073	BMP6	Developmental protein	HPA	20210914	20210914
1728	HGNC:1073	BMP6	Growth factor	HPA	20210914	20210914
1729	HGNC:1074	BMP7	Cytokine	HPA	20210914	20210914
1730	HGNC:1074	BMP7	Developmental protein	HPA	20210914	20210914
1731	HGNC:1074	BMP7	Growth factor	HPA	20210914	20210914
1732	HGNC:21650	BMP8A	Cytokine	HPA	20210914	20210914
1733	HGNC:21650	BMP8A	Developmental protein	HPA	20210914	20210914
1734	HGNC:21650	BMP8A	Growth factor	HPA	20210914	20210914
1735	HGNC:1075	BMP8B	Cytokine	HPA	20210914	20210914
1736	HGNC:1075	BMP8B	Developmental protein	HPA	20210914	20210914
1737	HGNC:1075	BMP8B	Growth factor	HPA	20210914	20210914
1738	HGNC:1076	BMPR1A	Kinase	HPA	20210914	20210914
1739	HGNC:1076	BMPR1A	Receptor	HPA	20210914	20210914
1740	HGNC:1076	BMPR1A	Serine/threonine-protein kinase	HPA	20210914	20210914
1741	HGNC:1076	BMPR1A	Transferase	HPA	20210914	20210914
1742	HGNC:1077	BMPR1B	Kinase	HPA	20210914	20210914
1743	HGNC:1077	BMPR1B	Receptor	HPA	20210914	20210914
1744	HGNC:1077	BMPR1B	Serine/threonine-protein kinase	HPA	20210914	20210914
1745	HGNC:1077	BMPR1B	Transferase	HPA	20210914	20210914
1746	HGNC:1078	BMPR2	Kinase	HPA	20210914	20210914
1747	HGNC:1078	BMPR2	Receptor	HPA	20210914	20210914
1748	HGNC:1078	BMPR2	Serine/threonine-protein kinase	HPA	20210914	20210914
1749	HGNC:1078	BMPR2	Transferase	HPA	20210914	20210914
1750	HGNC:26475	BMT2	Methyltransferase	HPA	20210914	20210914
1751	HGNC:26475	BMT2	Transferase	HPA	20210914	20210914
1752	HGNC:1079	BMX	Kinase	HPA	20210914	20210914
1753	HGNC:1079	BMX	Transferase	HPA	20210914	20210914
1754	HGNC:1079	BMX	Tyrosine-protein kinase	HPA	20210914	20210914
1755	HGNC:1081	BNC1	DNA-binding	HPA	20210914	20210914
1756	HGNC:14273	BOLL	Developmental protein	HPA	20210914	20210914
1757	HGNC:14273	BOLL	RNA-binding	HPA	20210914	20210914
1758	HGNC:1093	BPGM	Hydrolase	HPA	20210914	20210914
1759	HGNC:1093	BPGM	Isomerase	HPA	20210914	20210914
1760	HGNC:1094	BPHL	Hydrolase	HPA	20210914	20210914
1761	HGNC:1095	BPI	Antibiotic	HPA	20210914	20210914
1762	HGNC:1095	BPI	Antimicrobial	HPA	20210914	20210914
1763	HGNC:15749	BPIFA1	Antibiotic	HPA	20210914	20210914
1764	HGNC:15749	BPIFA1	Antimicrobial	HPA	20210914	20210914
1765	HGNC:16203	BPIFA2	Antibiotic	HPA	20210914	20210914
