HGNC_ID	Gene_symbol	Previous_symbol
HGNC:30931	ACSM2B	ACSM2
HGNC:10522	ACSM3	SAH
HGNC:31665	ACSM6	C10orf129
HGNC:16091	ACSS1	ACAS2L
HGNC:15814	ACSS2	ACAS2
HGNC:129	ACTA1	ACTA
HGNC:150	ACTBP12	ACTGP5
HGNC:143	ACTC1	ACTC
HGNC:144	ACTG1	ACTG
HGNC:144	ACTG1	DFNA20
HGNC:144	ACTG1	DFNA26
HGNC:146	ACTG1P1	ACTGP1
HGNC:146	ACTG1P1	ACT1GP1
HGNC:147	ACTG1P2	ACTL2
HGNC:147	ACTG1P2	ACTGP2
HGNC:148	ACTG1P3	ACTGP3
HGNC:149	ACTG1P4	ACTGP4
HGNC:151	ACTG1P6	ACTGP6
HGNC:152	ACTG1P7	ACTGP7
HGNC:153	ACTG1P8	ACTGP8
HGNC:154	ACTG1P9	ACTGP9
HGNC:155	ACTG1P10	ACTL1
HGNC:155	ACTG1P10	ACTGP10
HGNC:49661	ACTG1P24	POTENP
HGNC:145	ACTG2	ACTL3
HGNC:145	ACTG2	ACTA3
HGNC:160	ACTL6B	ACTL6
HGNC:16127	ACTL10	C20orf134
HGNC:44626	ACTL11P	ACTBP13
HGNC:20131	ACTN1-DT	C14orf84
HGNC:20131	ACTN1-DT	ACTN1-AS1
HGNC:166	ACTN4	FSGS1
HGNC:168	ACTR1B	CTRN2
HGNC:171	ACVR1	ACVRLK2
HGNC:172	ACVR1B	ACVRLK4
HGNC:173	ACVR2A	ACVR2
HGNC:175	ACVRL1	ACVRLK1
HGNC:175	ACVRL1	ORW2
HGNC:1839	ADA2	IDGFL
HGNC:1839	ADA2	CECR1
HGNC:187	ADAM1A	ADAM1
HGNC:198	ADAM2	FTNB
HGNC:209	ADAM3A	CYRN1
HGNC:210	ADAM3B	CYRN2
HGNC:212	ADAM5	ADAM5P
HGNC:213	ADAM6	C14orf96
HGNC:216	ADAM9	CORD9
HGNC:189	ADAM11	MDC
HGNC:195	ADAM17	TACE
HGNC:20102	ADAM20P1	C14orf55
HGNC:19822	ADAM21P1	ADAM21P
HGNC:15478	ADAM33	C20orf153
HGNC:49407	ADAMTS7P1	ADAMTS7P2
HGNC:1366	ADAMTS13	C9orf8
HGNC:17110	ADAMTS18	ADAMTS21
HGNC:14632	ADAMTSL1	C9orf94
HGNC:19706	ADAMTSL4	TSRC1
HGNC:32041	ADAMTSL4-AS1	C1orf138
HGNC:27912	ADAMTSL5	THSD6
HGNC:16486	ADAP1	CENTA1
HGNC:16487	ADAP2	CENTA2
HGNC:225	ADAR	IFI4
HGNC:225	ADAR	G1P1
HGNC:23299	ADARB2-AS1	C10orf109
HGNC:23299	ADARB2-AS1	NCRNA00168
HGNC:21172	ADAT2	DEADC1
HGNC:232	ADCY1	DFNB44
HGNC:239	ADCY8	ADCY3
HGNC:245	ADD3	ADDL
HGNC:21212	ADGB	C6orf103
HGNC:13838	ADGRA1	GPR123
HGNC:49543	ADGRA1-AS1	GPR123-AS1
HGNC:17849	ADGRA2	GPR124
HGNC:13839	ADGRA3	GPR125
HGNC:943	ADGRB1	BAI1
HGNC:944	ADGRB2	BAI2
HGNC:945	ADGRB3	BAI3
HGNC:19893	ADGRD1	GPR133
HGNC:18651	ADGRD2	GPR144
HGNC:3336	ADGRE1	TM7LN3
HGNC:3336	ADGRE1	EMR1
HGNC:3337	ADGRE2	EMR2
HGNC:23647	ADGRE3	EMR3
HGNC:19240	ADGRE4P	GPR127
HGNC:19240	ADGRE4P	EMR4
HGNC:19240	ADGRE4P	EMR4P
HGNC:1711	ADGRE5	CD97
HGNC:18990	ADGRF1	GPR110
HGNC:18991	ADGRF2	GPR111
HGNC:18989	ADGRF3	GPR113
HGNC:19011	ADGRF4	GPR115
HGNC:19030	ADGRF5	GPR116
HGNC:32922	ADGRF5P1	GPR116P1
HGNC:32921	ADGRF5P2	GPR116P2
HGNC:4512	ADGRG1	GPR56
HGNC:4516	ADGRG2	GPR64
HGNC:13728	ADGRG3	GPR97
HGNC:18992	ADGRG4	GPR112
HGNC:19010	ADGRG5	GPR114
HGNC:13841	ADGRG6	GPR126
HGNC:19241	ADGRG7	GPR128
HGNC:20973	ADGRL1	LPHN1
HGNC:18582	ADGRL2	LPHH1
HGNC:18582	ADGRL2	LPHN2
HGNC:20974	ADGRL3	LPHN3
HGNC:50604	ADGRL3-AS1	LPHN3-AS1
HGNC:20822	ADGRL4	ELTD1
HGNC:17416	ADGRV1	USH2C
HGNC:17416	ADGRV1	MASS1
HGNC:17416	ADGRV1	GPR98
HGNC:249	ADH1A	ADH1
HGNC:250	ADH1B	ADH2
HGNC:251	ADH1C	ADH3
HGNC:253	ADH5	FDH
HGNC:21377	ADH5P4	ADH5B
HGNC:13633	ADIPOQ	ACDC
HGNC:24043	ADIRF	C10orf116
HGNC:27293	ADM5	C19orf76
HGNC:23803	ADNP2	ZNF508
HGNC:23506	ADO	C10orf22
HGNC:263	ADORA2A	ADORA2
HGNC:37122	ADORA2A-AS1	C22orf45
HGNC:265	ADORA2BP1	ADORA2BP
HGNC:30925	ADPRM	C17orf48
HGNC:21304	ADPRS	ADPRHL2
HGNC:277	ADRA1A	ADRA1C
HGNC:281	ADRA2A	ADRA2
HGNC:281	ADRA2A	ADRA2R
HGNC:282	ADRA2B	ADRA2L1
HGNC:282	ADRA2B	ADRA2RL1
HGNC:283	ADRA2C	ADRA2L2
HGNC:283	ADRA2C	ADRA2RL2
HGNC:285	ADRB1	ADRB1R
HGNC:286	ADRB2	ADRB2R
HGNC:20093	ADSS1	ADSSL1
HGNC:292	ADSS2	ADSS
HGNC:21214	ADTRP	C6orf105
HGNC:25722	AEN	ISG20L1
HGNC:28141	AFAP1-AS1	AFAP1AS
HGNC:28141	AFAP1-AS1	AFAP1-AS
HGNC:25901	AFAP1L2	KIAA1914
HGNC:7137	AFDN	MLLT4
HGNC:21236	AFDN-DT	C6orf124
HGNC:21236	AFDN-DT	MLLT4-AS1
HGNC:21236	AFDN-DT	AFDN-AS1
HGNC:7135	AFF1	PBM1
HGNC:7135	AFF1	MLLT2
HGNC:3776	AFF2	FMR2
HGNC:6473	AFF3	LAF4
HGNC:16411	AFG1L	LACE1
HGNC:314	AFG3L1P	AFG3
HGNC:314	AFG3L1P	AFG3L1
HGNC:315	AFG3L2	SCA28
HGNC:24169	AFG3L2P1	AFG3L2P
HGNC:317	AFP	HPAFP
HGNC:16922	AGAP1	CENTG2
HGNC:16921	AGAP2	CENTG1
HGNC:16923	AGAP3	CENTG3
HGNC:23459	AGAP4	CTGLF1
HGNC:23459	AGAP4	AGAP8
HGNC:23459	AGAP4	CTGLF5
HGNC:23467	AGAP5	CTGLF2
HGNC:23466	AGAP6	CTGLF3
HGNC:23465	AGAP7P	CTGLF4
HGNC:23465	AGAP7P	AGAP7
HGNC:23463	AGAP9	CTGLF6
HGNC:23659	AGAP10P	AGAP10
HGNC:23659	AGAP10P	CTGLF7
HGNC:23659	AGAP10P	CTGLF10P
HGNC:23661	AGAP12P	CTGLF12P
HGNC:23499	AGAP13P	CTGLF9P
HGNC:23660	AGAP14P	CTGLF11P
HGNC:23660	AGAP14P	AGAP14
HGNC:5175	AGFG1	HRB
HGNC:5177	AGFG2	HRBL
HGNC:21869	AGK	MULK
HGNC:33784	AGMO	TMEM195
HGNC:3262	AGO1	EIF2C1
HGNC:3263	AGO2	EIF2C2
HGNC:3263	AGO2	CASC7
HGNC:18421	AGO3	EIF2C3
HGNC:18424	AGO4	EIF2C4
HGNC:325	AGPAT2	BSCL
HGNC:20988	AGPAT4-IT1	C6orf59
HGNC:20988	AGPAT4-IT1	NCRNA00241
HGNC:329	AGRN	AGRIN
HGNC:333	AGT	SERPINA8
HGNC:336	AGTR1	AGTR1B
HGNC:341	AGXT	SPAT
HGNC:24620	AHCTF1P1	AHCTF1P
HGNC:32526	AHI1-DT	C6orf217
HGNC:32526	AHI1-DT	NCRNA00271
HGNC:32526	AHI1-DT	LINC00271
HGNC:20125	AHNAK2	C14orf78
HGNC:346	AHRR	AHH
HGNC:346	AHRR	AHHR
HGNC:1189	AHSA1	C14orf3
HGNC:20437	AHSA2P	AHSA2
HGNC:18075	AHSP	ERAF
HGNC:25761	AIDA	C1orf80
HGNC:28904	AIF1L	C9orf58
HGNC:8768	AIFM1	PDCD8
HGNC:8768	AIFM1	NAMSD
HGNC:8768	AIFM1	AUNX1
HGNC:21411	AIFM2	AMID
HGNC:10648	AIMP1	SCYE1
HGNC:16543	AIMP1P1	SCYE1P
HGNC:359	AIPL1	LCA4
